tweet_id,tweets,sensitive,source,retweet_count,reply_count,like_count,quote_count,impression_count
1618987666158256128, if the usmnt just completely rostered its players from the mls  i m willing to bet dumb takes like this will stop being made by mls sycophants ,False,,0,0,1,0,37
1618987367775207424,the  for the  was cade cowell  who impressed many with his performance against serbia  ,False,,0,0,4,0,2294
1618987326155235328,  the backheeled show       what does earnie stewart s departure mean for the usmnt    when can we expect a new coach    who stood out in the loss to serbia  listen wherever you get your podcasts  ,False,,0,0,2,0,388
1618987313664507904,brotherly game daily links  union confirm another big mls trade  earnie stewasteps down from usmnt job  red bulls close to breaking transfer record  ,True,,0,0,2,0,479
1618987204545773572,glad gio reyna is coming along  he s not at      yet   this stuck out  so is he or isn t he it looks clear he isn t so this begs the question  what the hell really happened in qatar  ,False,,0,0,0,0,54
1618986960558919680,looking like there s another american    heading to leeds    is this a step down for the  international is it the right signing for  in their survival bid   ,False,,1,0,1,0,100
1618986834083856385, looks are for behind the scene training while introducing the player s to the system created if any  this approach  cabefore the horse to nationally televised friendlies is wrong for the usmnt program ,False,,0,1,0,0,15
1618986744422232067, bentley do you know if the sporting director position is for us soccer as a whole or just usmnt  im assuming just usmnt but not sure,False,,0,0,0,0,14
1618986620853846016,source can confirm pisa indeed are very interested in usmnt midfielder gianluca busio  not sure how likely a move is at this stage  but plenty of time before transfer window closes   busio      has    apps    starts for venezia this season as they sit in serie b relegation zone  ,False,,6,1,52,3,12511
1618986599534194689, more like        payed fake fans  ,False,,0,0,0,0,12
1618986330708672513,    agree on principle  except in this case you really have nfi how hard he was hit ,False,,0,0,0,0,7
1618986271459938305, hey  i ve been one of his biggest critics  i think  and i d love nothing more than to see him improve his play to the point that he should be back on the usmnt  but it s going to take a lot of improvement  at this point   cause i d much rather see richards ccv etc ,False,,0,1,1,0,34
1618986127586922498,  honestly  i d rather have all  players play in middle class pl clubs because it fits their cultural identity ,False,,0,0,0,0,38
1618986007332012032,i don t think we can all comprehend how good gio could be some day  he isn t even fully back yet and comfortably hitting edge of the box half volley winners  a healthy gio combined with a  coach willing to play him next cycle say goodnight   ,False,,1,4,36,0,1400
1618985935131262976,   what if the ussf thought outside the mls box and played in  sacramento  tulsa  spokane  boise  athens  ga  south bend  durham  chapel hill  reno    some good size markets  often college towns  that would pack a stadium for a rare usmnt game think sec  amp  acc stadiums  crowds ,False,,0,0,0,0,25
1618985803144896516,  wose   not even my nationality,False,,0,0,0,0,20
1618985608193658881, greatlakes   the other absolute telling number is ao ticket price   they get the lowest price of any venue for their prime seating behind goal  they then get a     discount   their ticket price which include the     for their profit  was     dollars minus ticket fees would make it    ,False,,0,0,0,0,16
1618985513377206273, thoughts  that s why city play with mahrez and grealish wide  stick to nfl ffs,False,,0,0,0,0,101
1618985289963421696,   i mean i was shocked he was named too  he deserved it but gregg went from ignoring him for no reason to preferring him  what s weird is if you have a healthy richards and robinson instead of long getting axed ream would have  but sometimes life works out for you ,False,,0,0,0,0,23
1618985245201817605, amg with the way  the organization is speaking right now the gb is on the list of candidates if he is rehired no,False,,0,0,0,0,9
1618985160925663232,  but there is a certain portion of the population that was butt huwhen people mentioned roldan has no place in the usmnt he s a real boy with real feelings  but will jump on the bits of brooks not getting minutes   it all screams hypocritical to me ,False,,0,1,1,0,25
1618984752119414784,missing out on balogun is what i m most worried about with all the drama vacancies in the usmnt ,False,,0,0,7,0,1076
1618984465707180032, nepotism doesn t just involve family  it also involves friends too   look at how many   s usmnt players have been involved   that s nepotism ,False,,0,0,0,0,11
1618984451467542530, greatlakes   yeah and i don t have screen shots of the previous game but didn t find one ticket from tm or resale below      there was no     option ,False,,0,2,0,0,17
1618984384081825794,the usmnt tactical approach from mid field forward when attacking has no defined process  it has always been panic football with a hope and pray mentality level  futsal corrects this ,False,,0,0,0,0,51
1618984170922852352,for jim curtin and the union  earnie stewawasn t simply a colleague  he was an ally  via ,False,,0,0,2,0,1193
1618984157077716993,so those stories of chasing specific potential usmnt managers are nothing more than a hope and a whisper   they called zidane because they knew he would say no  but make it look like they were working on it   they weren t  they aren t   it s just a show   ussf  doesn t care ,False,,0,0,1,0,77
1618984149297111040,earnie stewaand brian mcbride leave u s  soccer  via ,False,,0,1,0,0,1130
1618984126052466688,   that s a different game man,False,,0,1,0,0,15
1618983695570063363,  surely they would understand why a usmnt player would want to join leeds as they ve got a us manager and already have usmnt players at the club  strange bunch      ,False,,0,0,1,0,44
1618983607749722119,yeah no hire the guy who will forever be known for bottling one of the biggest chances in usmnt history as your head coach hahahahahaha  i hate the mls ,False,,0,0,0,0,88
1618982764182900742,i can t believe i m saying this  but i m gonna say it the usmnt and american soccer as a whole needs their own form of bills mafia ,False,,0,0,1,0,101
1618982602228260864, greatlakes   here s the lowest price ticket though the ussoccer website  grass seating       ticket  ,False,,0,1,0,0,16
1618982553066827777,why don t leeds united go after timothy weah too  might as well at this point   ,False,,0,0,1,0,90
1618982540395814912, he s not at      yet    usmnt casuals in the mud  ,False,,0,0,0,0,86
1618982137969115138, thoughts  bodied the fraud,False,,0,0,2,0,159
1618981963670618116,   lol you re comparing     to this guys dumb screenshot of a       scalper listing ,False,,0,1,0,0,18
1618981894259113984, thoughts gio is crushing it at his job though  berhalter had him pegged as a super sub though        ,False,,0,0,1,0,9
